Designator,Footprint,Quantity,Value,LCSC Part #
BRD2,9E6018AD,1,waveshare0.96inch,
BT1,Battery Cell 800mah bis,1,800mAh,
"C1, C12",0603,2,1μ,
C10,0603,1,33p,
"C11, C13, C15, C16, C17, C18, C19, C20, C22, C25, C27, C30, C5, C8, C9",0603,15,100n,
"C14, C21, C23, C24, C28, C29, C3, C4, C6, C7",0603,10,22μ,
C2,0603,1,10μ,
C26,0603,1,Byp or Bulk xμ_10μ,
D1,D_SOD-123F_noSilk,1,SMF5V0A,
"D1_0, D1_1, D1_10, D1_11, D1_12, D1_2, D1_3, D1_4, D1_5, D1_6, D1_7, D1_8, D1_9, D2_0, D2_1, D2_10, D2_11, D2_12, D2_2, D2_3, D2_4, D2_5, D2_6, D2_7, D2_8, D2_9, D3_0, D3_1, D3_10, D3_11, D3_12, D3_2, D3_3, D3_4, D3_5, D3_6, D3_7, D3_8, D3_9, D4_0, D4_1, D4_10, D4_11, D4_12, D4_2, D4_3, D4_4, D4_5, D4_6, D4_7, D4_8, D4_9, D5_0, D5_1, D5_10, D5_11, D5_12, D5_2, D5_3, D5_4, D5_5, D5_6, D5_7, D5_8, D5_9, D6_0, D6_1, D6_10, D6_11, D6_12, D6_2, D6_3, D6_4, D6_5, D6_6, D6_7, D6_8, D6_9",D_SOD-123_no silks,78,1N4148,
D3,LED_D5.0mm THT Turn_noSilk,1,LED B,
"F1, F2",1812,2,MF-MSMF110-2,
"FB1, FB2",0805,2,FerriteBead_Small,
"J1, J2",USB_C_Receptacle_G-Switch_GT-USB-7010ASV_noSilk,2,USB_C_Receptacle_USB2.0_16P,
J3,Jack_3.5mm_KoreanHropartsElec_PJ-313D-4A_Horizontal,1,AudioJack3,
J4,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical_right+,1,Conn_01x02_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Bridged,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
L1,L_CommonModeChoke_Coilcraft_0603USB_noSilk,1,DLW21SN900SQ2L,
L2,L_TDK_VLS6045EX_VLS6045AF_noSilk,1,4.7μ,
Q1,SOT-23_noSilk,1,S9013 J3,
"R1, R10, R25, R26",0603,4,10k,
R11,0603,1,900k,
"R12, R17, R18",0603,3,4.7k,
R13,0603,1,887k,
R14,0603,1,120k,
R15,1206,1,200k,
R16,0603,1,200k,
"R19, R20, R21",0603,3,100,
"R2, R3",0603,2,5.1k,
R22,0603,1,1.18k,
R23,0603,1,4.12k,
R24,0603,1,1.13k,
R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,560k,
R28,0603,1,1k,
R29,0603,1,220k,
"R4, R9",0603,2,220,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"RV1, RV2, RV3",Potentiometer_Slider_AliExpress_10k_35mm,3,10k,
SW1,SW_SK22D02_DPDT_Angled,1,SW_Slide_DPDT,
"SW1_0, SW1_1, SW1_10, SW1_11, SW1_12, SW1_2, SW1_3, SW1_4, SW1_5, SW1_6, SW1_7, SW1_8, SW1_9, SW2_0, SW2_1, SW2_10, SW2_11, SW2_12, SW2_2, SW2_3, SW2_4, SW2_5, SW2_6, SW2_7, SW2_8, SW2_9, SW3_0, SW3_1, SW3_10, SW3_11, SW3_12, SW3_2, SW3_3, SW3_4, SW3_5, SW3_6, SW3_7, SW3_8, SW3_9, SW4_0, SW4_1, SW4_10, SW4_11, SW4_12, SW4_2, SW4_3, SW4_4, SW4_5, SW4_6, SW4_7, SW4_8, SW4_9, SW5_0, SW5_1, SW5_10, SW5_11, SW5_12, SW5_2, SW5_3, SW5_4, SW5_5, SW5_6, SW5_7, SW5_8, SW5_9, SW6_0, SW6_1, SW6_10, SW6_11, SW6_12, SW6_2, SW6_3, SW6_4, SW6_5, SW6_6, SW6_7, SW6_8, SW6_9",SW_Hotswap_Kailh_Choc_noD_reflect,78,Switch_SW_Push,
SW2,Akidsuki_WhiteCircleTactileSwitch,1,SW_SPST,
"SW3, SW4",SW_PUSH_6mm_H9.5mm_DTS65,2,SW_SPST,
TH1,0603,1,Thermistor,
U1,ESP32-S2-MINI-1_thermalVia_noSilk,1,ESP32-S3-MINI-1,
U2,Texas_DRT-3_noSilk,1,TPD2EUSB30ADRTR,
U3,SOT-363_SC-70-6_noSilk,1,LM66100DCK,
U4,SOT-23_noSilk,1,AP7333-33SAG-7,
U5,Texas_X2QFN-12_1.6x1.6mm_P0.4mm_noSilk,1,TUSB320LAIRWBR,
U6,SOT-563_noSilk,1,TPS61023DRLR,
U7,BQ24074_QFN-16_3x3mm_withThermalVia_noSilk,1,BQ24074RGT,
