Designator,Mid X,Mid Y,Rotation,Layer
BRD2,69.25,-63.25,0.0,bottom
BT1,70.283572,-96.529679,275.0,top
C1,336.375,-133.3,180.0,top
C10,331.695,-50.74,180.0,top
C11,329.91,-94.5,180.0,top
C12,329.91,-95.97,180.0,top
C13,326.655,-74.04,0.0,top
C14,326.655,-75.5,0.0,top
C15,83.66,-123.105,90.0,top
C16,59.91,-125.65,90.0,top
C17,53.59,-125.645,90.0,top
C18,78.625,-135.9,0.0,top
C19,59.89,-135.9,180.0,top
C2,330.05,-68.44,90.0,top
C20,82.625,-135.9,180.0,top
C21,334.625,-134.89,180.0,top
C22,334.34,-137.105,90.0,top
C23,339.17,-142.175,270.0,top
C24,337.71,-142.175,270.0,top
C25,336.25,-142.175,270.0,top
C26,56.66,-125.63,90.0,top
C27,80.7375,-123.1,90.0,top
C28,328.81,-56.5,90.0,top
C29,327.31,-56.5,90.0,top
C3,330.135,-73.85,180.0,top
C30,328.98,-58.74,180.0,top
C4,331.705,-53.67,180.0,top
C5,328.165,-90.095,0.0,top
C6,331.705,-55.13,180.0,top
C7,326.385,-67.72,0.0,top
C8,331.705,-56.6,180.0,top
C9,326.385,-69.18,0.0,top
D1,336.0925,-84.55,0.0,top
D1_0,309.35,-53.8,0.0,top
D1_1,291.3,-53.8,0.0,top
D1_10,129.3,-53.8,0.0,top
D1_11,111.3,-53.8,0.0,top
D1_12,93.3,-53.8,0.0,top
D1_2,273.3,-53.8,0.0,top
D1_3,255.3,-53.8,0.0,top
D1_4,237.3,-53.8,0.0,top
D1_5,219.3,-53.8,0.0,top
D1_6,201.3,-53.8,0.0,top
D1_7,183.29,-53.8,0.0,top
D1_8,165.3,-53.8,0.0,top
D1_9,147.3,-53.8,0.0,top
D2_0,309.35,-70.8,0.0,top
D2_1,291.3,-70.8,0.0,top
D2_10,129.3,-70.8,0.0,top
D2_11,111.3,-70.8,0.0,top
D2_12,93.3,-70.8,0.0,top
D2_2,273.3,-70.8,0.0,top
D2_3,255.3,-70.8,0.0,top
D2_4,237.3,-70.8,0.0,top
D2_5,219.3,-70.8,0.0,top
D2_6,201.3,-70.8,0.0,top
D2_7,183.3,-70.8,0.0,top
D2_8,165.3,-70.8,0.0,top
D2_9,147.3,-70.8,0.0,top
D3,335.005,-95.055,0.0,bottom
D3_0,309.35,-87.8,0.0,top
D3_1,291.3,-87.8,0.0,top
D3_10,129.3,-87.8,0.0,top
D3_11,111.35,-87.8,0.0,top
D3_12,93.25,-87.8,0.0,top
D3_2,273.3,-87.8,0.0,top
D3_3,255.3,-87.8,0.0,top
D3_4,237.3,-87.8,0.0,top
D3_5,219.3,-87.8,0.0,top
D3_6,201.3,-87.8,0.0,top
D3_7,183.3,-87.8,0.0,top
D3_8,165.3,-87.8,0.0,top
D3_9,147.3,-87.8,0.0,top
D4_0,309.35,-104.8,0.0,top
D4_1,291.3,-104.8,0.0,top
D4_10,129.3,-104.8,0.0,top
D4_11,111.3,-104.8,0.0,top
D4_12,93.3,-104.8,0.0,top
D4_2,273.3,-104.8,0.0,top
D4_3,255.3,-104.8,0.0,top
D4_4,237.3,-104.8,0.0,top
D4_5,219.3,-104.8,0.0,top
D4_6,201.3,-104.8,0.0,top
D4_7,183.3,-104.8,0.0,top
D4_8,165.3,-104.8,0.0,top
D4_9,147.3,-104.8,0.0,top
D5_0,309.35,-121.8,0.0,top
D5_1,291.3,-121.8,0.0,top
D5_10,129.3,-121.8,0.0,top
D5_11,111.3,-121.8,0.0,top
D5_12,93.3,-121.8,0.0,top
D5_2,273.3,-121.8,0.0,top
D5_3,255.3,-121.8,0.0,top
D5_4,237.3,-121.8,0.0,top
D5_5,219.3,-121.8,0.0,top
D5_6,201.3,-121.8,0.0,top
D5_7,183.3,-121.7,0.0,top
D5_8,165.3,-121.8,0.0,top
D5_9,147.3,-121.8,0.0,top
D6_0,309.35,-138.8,0.0,top
D6_1,291.3,-138.8,0.0,top
D6_10,129.3,-138.8,0.0,top
D6_11,111.3,-138.8,0.0,top
D6_12,93.3,-138.8,0.0,top
D6_2,273.3,-138.8,0.0,top
D6_3,255.3,-138.8,0.0,top
D6_4,237.3,-138.8,0.0,top
D6_5,219.3,-138.8,0.0,top
D6_6,201.3,-138.8,0.0,top
D6_7,183.3,-138.8,0.0,top
D6_8,165.3,-138.8,0.0,top
D6_9,147.3,-138.8,0.0,top
F1,336.52,-71.58,0.0,top
F2,330.52,-82.96,0.0,top
FB1,327.9675,-79.74,0.0,top
FB2,332.7,-71.6,90.0,top
J1,344.315,-65.39,90.0,top
J2,344.325,-77.89,90.0,top
J3,343.3,-54.8,180.0,top
J4,56.205,-59.15,180.0,top
L1,336.9,-86.68,270.0,top
L2,331.18,-62.86,0.0,top
Q1,336.67,-46.5,270.0,top
R1,336.375,-131.84,180.0,top
R10,328.59,-68.44,90.0,top
R11,328.155,-88.595,0.0,top
R12,325.95,-88.725,90.0,top
R13,331.695,-52.2,180.0,top
R14,328.94,-52.945,90.0,top
R15,325.5,-92.5625,90.0,top
R16,327.49,-95.26,90.0,top
R17,327.035,-98.58,180.0,top
R18,327.035,-100.08,180.0,top
R19,82.2,-123.105,270.0,top
R2,332.1,-68.37,90.0,top
R20,58.44,-125.65,270.0,top
R21,51.99,-125.64,270.0,top
R22,335.93,-138.785,270.0,top
R23,332.88,-137.105,270.0,top
R24,331.42,-137.105,270.0,top
R25,327.88,-135.06,270.0,top
R26,329.38,-135.085,270.0,top
R27,82.79,-126.03,0.0,top
R28,78.5275,-123.845,0.0,top
R29,78.5275,-122.355,180.0,top
R3,337.79,-60.67,180.0,top
R4,333.325,-47.5,0.0,top
R5,337.60000083632076,-103.60000016367925,45.0,top
R9,334.655,-50.74,0.0,top
RV1,81.25,-100.06,90.0,bottom
